2;0;0;20;*;*;*;*;*;*;*;*;*;*;*;51.jpg
2;0;13;20;*;0;0;0;0;0;38;0;0;no;yes;51.jpg
1;0;0;22;27;0;33;0;0;0;0;0;0;no;no;52.jpg
2;0;14;20;23;0;0;0;0;0;0;40;42;no;yes;53.jpg
3;0;13;17;25;0;0;0;0;*;*;0;0;*;*;53.jpg
0;8;14;17;0;0;0;0;0;*;*;0;42;*;yes;53.jpg
3;0;14;17;25;0;0;0;0;*;*;*;0;*;*;54.jpg
1;0;0;17;23;0;0;0;0;39;38;0;0;yes;yes;54.jpg
5;0;0;0;27;28;0;0;0;0;0;0;0;no;no;55.jpg
5;0;15;0;*;*;33;0;0;*;*;0;42;*;yes;56.jpg
5;0;14;0;23;0;0;0;0;39;0;0;0;yes;no;57.jpg
5;0;12;0;*;0;0;0;0;39;38;0;42;yes;yes;58.jpg
*;*;12;*;*;*;0;0;0;39;*;0;42;yes;yes;59.jpg
5;0;0;0;25;0;33;0;0;39;0;0;0;yes;no;60.jpg
5;0;14;0;23;0;0;0;0;*;*;0;0;*;*;61.jpg
5;0;0;0;25;0;0;35;0;0;0;0;42;yes;yes;62.jpg
1;0;13;*;*;*;0;35;0;*;*;*;0;yes;*;64.jpg
*;*;13;17;23;0;32;0;0;39;38;0;0;yes;yes;65.jpg
4;0;0;*;*;*;0;36;0;*;*;*;0;yes;*;66.jpg
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;67.jpg
5;0;13;0;*;28;*;0;0;39;*;*;0;yes;*;68.jpg
0;7;15;0;23;28;0;0;*;*;*;0;0;*;*;69.jpg
3;0;15;0;23;28;33;0;*;*;*;0;0;*;*;69.jpg
5;0;0;17;23;0;33;0;*;0;0;0;41;*;yes;69.jpg
*;0;13;17;23;0;*;0;*;*;*;*;0;*;*;69.jpg
5;0;13;20;25;0;0;0;0;*;*;0;0;*;*;69.jpg
4;0;0;20;26;0;0;34;0;0;0;0;42;yes;yes;70.jpg
0;8;0;19;*;*;*;*;*;*;*;*;*;*;*;70.jpg
0;8;0;19;*;0;0;0;0;0;0;0;0;no;no;70.jpg
2;0;0;19;*;0;33;0;0;*;*;0;0;*;*;70.jpg
0;7;13;19;23;0;32;0;0;*;*;*;42;*;yes;71.jpg
5;0;0;0;*;*;0;0;0;0;0;40;0;no;yes;72.jpg
1;0;0;20;*;*;0;34;0;0;0;0;0;yes;no;74.jpg
*;*;13;18;*;*;32;0;0;0;0;0;0;no;no;75.jpg
5;0;0;0;23;0;0;0;0;39;0;0;0;yes;no;77.jpg
3;0;13;17;*;*;*;*;*;*;*;*;*;*;*;78.jpg
3;0;13;20;25;0;0;36;0;39;0;40;0;yes;yes;78.jpg
4;0;0;20;24;0;0;0;0;0;0;*;0;no;*;78.jpg
5;0;0;17;27;0;0;0;0;*;*;0;0;*;*;79.jpg
5;0;13;0;23;28;33;0;0;*;*;0;0;*;*;79.jpg
*;*;13;17;27;0;32;0;0;*;*;0;0;*;*;79.jpg
0;0;13;20;*;*;0;0;0;0;0;0;0;no;no;80.jpg
5;0;13;0;23;0;0;0;0;*;*;*;0;*;*;81.jpg
*;*;13;17;23;0;0;0;0;*;*;*;0;*;*;81.jpg
1;0;0;20;26;0;0;0;0;0;0;0;0;no;no;83.jpg
5;0;0;0;23;0;0;0;37;0;0;0;0;yes;no;84.jpg
0;7;0;17;25;0;0;0;0;0;0;0;0;no;no;85.jpg
5;0;13;0;27;0;0;35;0;*;*;40;41;yes;yes;86.jpg
*;*;13;22;*;28;*;*;*;*;*;0;*;*;*;87.jpg
0;9;0;19;23;0;0;0;0;0;0;0;0;no;no;88.jpg
5;0;0;0;23;0;0;0;0;0;0;40;0;no;yes;88.jpg
2;9;13;18;25;0;0;0;0;*;*;40;42;*;yes;89.jpg
5;0;0;0;23;0;0;0;0;39;0;0;42;yes;yes;90.jpg
1;0;0;19;23;0;0;0;0;39;0;0;42;yes;yes;91.jpg
3;0;13;0;23;28;0;0;0;*;*;0;0;*;*;92.jpg
*;*;13;17;23;0;0;0;0;0;0;*;0;no;*;93.jpg
5;0;15;0;23;0;0;*;*;39;0;0;*;yes;*;94.jpg
1;0;0;17;25;0;0;0;0;*;*;*;0;*;*;95.jpg
5;0;13;0;*;28;32;0;0;0;0;0;0;no;no;96.jpg
3;0;14;20;27;28;0;0;0;*;*;0;0;*;*;97.jpg
3;0;14;0;*;0;0;0;0;*;0;0;0;*;no;97.jpg
5;0;0;0;23;0;0;0;0;0;38;0;0;no;yes;98.jpg
5;0;0;0;*;*;0;*;*;0;0;0;*;*;*;99.jpg
3;0;0;22;25;0;0;0;0;*;*;0;0;*;*;100.jpg
3;0;13;0;25;28;0;*;*;*;*;0;*;*;*;101.jpg
*;*;13;0;25;28;32;35;0;*;*;*;0;yes;*;102.jpg
2;0;0;19;23;0;*;0;0;*;0;*;*;*;*;103.jpg
*;*;13;17;25;0;0;34;0;*;*;*;0;yes;*;104.jpg
3;0;12;16;*;0;0;34;0;*;*;0;0;yes;*;105.jpg
0;8;0;16;24;0;0;0;0;0;0;0;0;no;no;106.jpg
2;0;13;17;23;0;0;0;0;*;*;0;0;*;*;107.jpg
5;0;15;0;27;0;0;0;0;*;*;40;0;*;yes;108.jpg
5;0;13;0;25;0;0;0;0;0;0;0;0;no;no;109.jpg
*;*;*;17;27;0;*;*;*;0;38;40;*;*;yes;110.jpg
*;*;13;17;23;0;0;35;0;*;*;*;0;yes;*;111.jpg
5;0;0;0;*;*;33;36;37;39;0;0;0;yes;no;112.jpg
2;0;14;22;23;0;0;0;0;*;*;*;0;*;*;113.jpg
4;0;0;20;*;*;0;0;0;0;0;0;0;no;no;114.jpg
5;0;0;0;*;*;0;0;0;0;0;40;0;no;yes;114.jpg
0;7;0;17;*;*;0;0;0;*;*;0;0;*;*;114.jpg
1;0;0;19;*;*;0;0;0;0;0;0;0;no;no;114.jpg
4;0;0;22;*;*;0;0;0;*;*;0;0;*;*;114.jpg
0;7;0;17;*;*;32;0;0;*;38;*;0;*;yes;115.jpg
3;0;0;17;*;*;33;0;0;0;*;0;0;no;*;116.jpg
1;0;15;19;26;0;0;34;0;39;*;0;0;yes;*;117.jpg
0;9;0;19;*;*;0;0;0;*;*;40;0;*;yes;118.jpg
0;11;0;17;25;0;0;0;0;0;0;0;0;no;no;119.jpg
0;7;0;17;27;0;0;0;0;*;*;*;0;*;*;120.jpg
*;*;13;22;23;28;32;0;0;*;*;*;42;*;yes;121.jpg
5;0;0;0;*;28;33;0;0;39;0;0;0;yes;no;122.jpg
5;0;0;0;23;0;0;0;0;0;38;0;0;no;yes;123.jpg
0;7;13;0;*;*;33;0;0;*;*;*;0;*;*;124.jpg
5;0;0;0;23;0;33;0;0;0;*;0;0;no;*;124.jpg
1;0;0;22;23;0;0;0;0;*;0;40;0;*;yes;124.jpg
3;0;0;17;26;0;0;0;0;39;0;0;42;yes;yes;125.jpg
